A:8000 D:a2 R
A:0004 D:04 R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:8150 D:42 R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:42 W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:33 R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:04 R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:80ae D:18 R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:18 W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:03 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:20 R
A:0002 D:10 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:10 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:10 R
A:0002 D:08 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:08 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:03 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:42 R
A:8024 D:29 R
A:8025 D:3f R
A:8026 D:c9 R
A:8027 D:30 R
A:8028 D:90 R
A:8029 D:02 R
A:802c D:a8 R
A:802c D:a8 R
A:802d D:a5 R
A:802e D:01 R
A:0001 D:18 R
A:802f D:29 R
A:8030 D:3f R
A:8031 D:c9 R
A:8032 D:30 R
A:8033 D:90 R
A:8034 D:02 R
A:8037 D:aa R
A:8037 D:aa R
A:8038 D:bd R
A:8039 D:00 R
A:803a D:02 R
A:0218 D:65 R
A:803b D:48 R
A:803b D:48 R
A:00fd D:65 W
A:803c D:b9 R
A:803d D:00 R
A:803e D:02 R
A:0202 D:6f R
A:803f D:9d R
A:8040 D:00 R
A:8041 D:02 R
A:0218 D:6f W
A:8042 D:68 R
A:8042 D:68 R
A:01fd D:65 R
A:8043 D:99 R
A:8044 D:00 R
A:8045 D:02 R
A:0202 D:65 W
A:8046 D:a5 R
A:8047 D:02 R
A:0002 D:08 R
A:8048 D:69 R
A:8049 D:e3 R
A:804a D:85 R
A:804b D:04 R
A:0004 D:eb W
A:804c D:a5 R
A:804d D:00 R
A:0000 D:42 R
A:804e D:6a R
A:804f D:45 R
A:8050 D:04 R
A:0004 D:eb R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:815b D:ae R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:ae W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:18 R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:eb R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:8178 D:34 R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:34 W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:03 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:08 R
A:0002 D:04 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:04 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:04 R
A:0002 D:02 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:02 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:02 R
A:0002 D:01 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:01 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:03 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:ae R
A:8024 D:29 R
A:8025 D:3f R
A:8026 D:c9 R
A:8027 D:30 R
A:8028 D:90 R
A:8029 D:02 R
A:802c D:a8 R
A:802c D:a8 R
A:802d D:a5 R
A:802e D:01 R
A:0001 D:34 R
A:802f D:29 R
A:8030 D:3f R
A:8031 D:c9 R
A:8032 D:30 R
A:8033 D:90 R
A:8034 D:02 R
A:8035 D:e9 R
A:8036 D:30 R
A:8037 D:aa R
A:8037 D:aa R
A:8038 D:bd R
A:8039 D:00 R
A:803a D:02 R
A:0204 D:68 R
A:803b D:48 R
A:803b D:48 R
A:00fd D:68 W
A:803c D:b9 R
A:803d D:00 R
A:803e D:02 R
A:022e D:6f R
A:803f D:9d R
A:8040 D:00 R
A:8041 D:02 R
A:0204 D:6f W
A:8042 D:68 R
A:8042 D:68 R
A:01fd D:68 R
A:8043 D:99 R
A:8044 D:00 R
A:8045 D:02 R
A:022e D:68 W
A:8046 D:a5 R
A:8047 D:02 R
A:0002 D:01 R
A:8048 D:69 R
A:8049 D:e3 R
A:804a D:85 R
A:804b D:04 R
A:0004 D:e5 W
A:804c D:a5 R
A:804d D:00 R
A:0000 D:ae R
A:804e D:6a R
A:804f D:45 R
A:8050 D:04 R
A:0004 D:e5 R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:8143 D:66 R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:66 W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:34 R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:e5 R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:8190 D:b7 R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:b7 W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:03 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:01 R
A:0002 D:00 W
A:8066 D:90 R
A:8067 D:b3 R
A:8068 D:c8 R
A:8068 D:c8 R
A:8069 D:c0 R
A:806a D:30 R
A:806b D:d0 R
A:806c D:aa R
A:8017 D:a9 R
A:8018 D:80 R
A:8019 D:85 R
A:801a D:02 R
A:0002 D:80 W
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:80 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:80 R
A:0002 D:40 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:40 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:04 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:66 R
A:8024 D:29 R
A:8025 D:3f R
A:8026 D:c9 R
A:8027 D:30 R
A:8028 D:90 R
A:8029 D:02 R
A:802c D:a8 R
A:802c D:a8 R
A:802d D:a5 R
A:802e D:01 R
A:0001 D:b7 R
A:802f D:29 R
A:8030 D:3f R
A:8031 D:c9 R
A:8032 D:30 R
A:8033 D:90 R
A:8034 D:02 R
A:8035 D:e9 R
A:8036 D:30 R
A:8037 D:aa R
A:8037 D:aa R
A:8038 D:bd R
A:8039 D:00 R
A:803a D:02 R
A:0207 D:74 R
A:803b D:48 R
A:803b D:48 R
A:00fd D:74 W
A:803c D:b9 R
A:803d D:00 R
A:803e D:02 R
A:0226 D:5f R
A:803f D:9d R
A:8040 D:00 R
A:8041 D:02 R
A:0207 D:5f W
A:8042 D:68 R
A:8042 D:68 R
A:01fd D:74 R
A:8043 D:99 R
A:8044 D:00 R
A:8045 D:02 R
A:0226 D:74 W
A:8046 D:a5 R
A:8047 D:02 R
A:0002 D:40 R
A:8048 D:69 R
A:8049 D:e3 R
A:804a D:85 R
A:804b D:04 R
A:0004 D:24 W
A:804c D:a5 R
A:804d D:00 R
A:0000 D:66 R
A:804e D:6a R
A:804f D:45 R
A:8050 D:04 R
A:0004 D:24 R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:8128 D:76 R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:76 W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:b7 R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:24 R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:8110 D:ee R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:ee W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:04 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:40 R
A:0002 D:20 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:20 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:04 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:76 R
A:8024 D:29 R
A:8025 D:3f R
A:8026 D:c9 R
A:8027 D:30 R
A:8028 D:90 R
A:8029 D:02 R
A:802a D:e9 R
A:802b D:30 R
A:802c D:a8 R
A:802c D:a8 R
A:802d D:a5 R
A:802e D:01 R
A:0001 D:ee R
A:802f D:29 R
A:8030 D:3f R
A:8031 D:c9 R
A:8032 D:30 R
A:8033 D:90 R
A:8034 D:02 R
A:8037 D:aa R
A:8037 D:aa R
A:8038 D:bd R
A:8039 D:00 R
A:803a D:02 R
A:022e D:68 R
A:803b D:48 R
A:803b D:48 R
A:00fd D:68 W
A:803c D:b9 R
A:803d D:00 R
A:803e D:02 R
A:0206 D:66 R
A:803f D:9d R
A:8040 D:00 R
A:8041 D:02 R
A:022e D:66 W
A:8042 D:68 R
A:8042 D:68 R
A:01fd D:68 R
A:8043 D:99 R
A:8044 D:00 R
A:8045 D:02 R
A:0206 D:68 W
A:8046 D:a5 R
A:8047 D:02 R
A:0002 D:20 R
A:8048 D:69 R
A:8049 D:e3 R
A:804a D:85 R
A:804b D:04 R
A:0004 D:03 W
A:804c D:a5 R
A:804d D:00 R
A:0000 D:76 R
A:804e D:6a R
A:804f D:45 R
A:8050 D:04 R
A:0004 D:03 R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:8149 D:3a R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:3a W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:ee R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:03 R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:8105 D:57 R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:57 W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:04 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:20 R
A:0002 D:10 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:10 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:10 R
A:0002 D:08 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:08 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:08 R
A:0002 D:04 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:04 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:04 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:3a R
A:8024 D:29 R
A:8025 D:3f R
A:8026 D:c9 R
A:8027 D:30 R
A:8028 D:90 R
A:8029 D:02 R
A:802a D:e9 R
A:802b D:30 R
A:802c D:a8 R
A:802c D:a8 R
A:802d D:a5 R
A:802e D:01 R
A:0001 D:57 R
A:802f D:29 R
A:8030 D:3f R
A:8031 D:c9 R
A:8032 D:30 R
A:8033 D:90 R
A:8034 D:02 R
A:8037 D:aa R
A:8037 D:aa R
A:8038 D:bd R
A:8039 D:00 R
A:803a D:02 R
A:0217 D:68 R
A:803b D:48 R
A:803b D:48 R
A:00fd D:68 W
A:803c D:b9 R
A:803d D:00 R
A:803e D:02 R
A:020a D:7b R
A:803f D:9d R
A:8040 D:00 R
A:8041 D:02 R
A:0217 D:7b W
A:8042 D:68 R
A:8042 D:68 R
A:01fd D:68 R
A:8043 D:99 R
A:8044 D:00 R
A:8045 D:02 R
A:020a D:68 W
A:8046 D:a5 R
A:8047 D:02 R
A:0002 D:04 R
A:8048 D:69 R
A:8049 D:e3 R
A:804a D:85 R
A:804b D:04 R
A:0004 D:e7 W
A:804c D:a5 R
A:804d D:00 R
A:0000 D:3a R
A:804e D:6a R
A:804f D:45 R
A:8050 D:04 R
A:0004 D:e7 R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:818b D:54 R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:54 W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:57 R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:e7 R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:815d D:52 R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:52 W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:04 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:04 R
A:0002 D:02 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:02 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:02 R
A:0002 D:01 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:01 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:01 R
A:0002 D:00 W
A:8066 D:90 R
A:8067 D:b3 R
A:8068 D:c8 R
A:8068 D:c8 R
A:8069 D:c0 R
A:806a D:30 R
A:806b D:d0 R
A:806c D:aa R
A:8017 D:a9 R
A:8018 D:80 R
A:8019 D:85 R
A:801a D:02 R
A:0002 D:80 W
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:80 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:05 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:54 R
A:8024 D:29 R
A:8025 D:3f R
A:8026 D:c9 R
A:8027 D:30 R
A:8028 D:90 R
A:8029 D:02 R
A:802c D:a8 R
A:802c D:a8 R
A:802d D:a5 R
A:802e D:01 R
A:0001 D:52 R
A:802f D:29 R
A:8030 D:3f R
A:8031 D:c9 R
A:8032 D:30 R
A:8033 D:90 R
A:8034 D:02 R
A:8037 D:aa R
A:8037 D:aa R
A:8038 D:bd R
A:8039 D:00 R
A:803a D:02 R
A:0212 D:6e R
A:803b D:48 R
A:803b D:48 R
A:00fd D:6e W
A:803c D:b9 R
A:803d D:00 R
A:803e D:02 R
A:0214 D:74 R
A:803f D:9d R
A:8040 D:00 R
A:8041 D:02 R
A:0212 D:74 W
A:8042 D:68 R
A:8042 D:68 R
A:01fd D:6e R
A:8043 D:99 R
A:8044 D:00 R
A:8045 D:02 R
A:0214 D:6e W
A:8046 D:a5 R
A:8047 D:02 R
A:0002 D:80 R
A:8048 D:69 R
A:8049 D:e3 R
A:804a D:85 R
A:804b D:04 R
A:0004 D:63 W
A:804c D:a5 R
A:804d D:00 R
A:0000 D:54 R
A:804e D:6a R
A:804f D:45 R
A:8050 D:04 R
A:0004 D:63 R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:815a D:80 R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:80 W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:52 R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:63 R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:80db D:f0 R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:f0 W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:05 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:80 R
A:0002 D:40 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:40 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:40 R
A:0002 D:20 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:20 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:20 R
A:0002 D:10 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:10 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:10 R
A:0002 D:08 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:08 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:08 R
A:0002 D:04 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:04 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:05 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:80 R
A:8024 D:29 R
A:8025 D:3f R
A:8026 D:c9 R
A:8027 D:30 R
A:8028 D:90 R
A:8029 D:02 R
A:802c D:a8 R
A:802c D:a8 R
A:802d D:a5 R
A:802e D:01 R
A:0001 D:f0 R
A:802f D:29 R
A:8030 D:3f R
A:8031 D:c9 R
A:8032 D:30 R
A:8033 D:90 R
A:8034 D:02 R
A:8035 D:e9 R
A:8036 D:30 R
A:8037 D:aa R
A:8037 D:aa R
A:8038 D:bd R
A:8039 D:00 R
A:803a D:02 R
A:0200 D:74 R
A:803b D:48 R
A:803b D:48 R
A:00fd D:74 W
A:803c D:b9 R
A:803d D:00 R
A:803e D:02 R
A:0200 D:74 R
A:803f D:9d R
A:8040 D:00 R
A:8041 D:02 R
A:0200 D:74 W
A:8042 D:68 R
A:8042 D:68 R
A:01fd D:74 R
A:8043 D:99 R
A:8044 D:00 R
A:8045 D:02 R
A:0200 D:74 W
A:8046 D:a5 R
A:8047 D:02 R
A:0002 D:04 R
A:8048 D:69 R
A:8049 D:e3 R
A:804a D:85 R
A:804b D:04 R
A:0004 D:e8 W
A:804c D:a5 R
A:804d D:00 R
A:0000 D:80 R
A:804e D:6a R
A:804f D:45 R
A:8050 D:04 R
A:0004 D:e8 R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:8139 D:2a R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:2a W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:f0 R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:e8 R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:8121 D:ef R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:ef W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:05 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:04 R
A:0002 D:02 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:02 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:05 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:2a R
A:8024 D:29 R
A:8025 D:3f R
A:8026 D:c9 R
A:8027 D:30 R
A:8028 D:90 R
A:8029 D:02 R
A:802c D:a8 R
A:802c D:a8 R
A:802d D:a5 R
A:802e D:01 R
A:0001 D:ef R
A:802f D:29 R
A:8030 D:3f R
A:8031 D:c9 R
A:8032 D:30 R
A:8033 D:90 R
A:8034 D:02 R
A:8037 D:aa R
A:8037 D:aa R
A:8038 D:bd R
A:8039 D:00 R
A:803a D:02 R
A:022f D:7d R
A:803b D:48 R
A:803b D:48 R
A:00fd D:7d W
A:803c D:b9 R
A:803d D:00 R
A:803e D:02 R
A:022a D:67 R
A:803f D:9d R
A:8040 D:00 R
A:8041 D:02 R
A:022f D:67 W
A:8042 D:68 R
A:8042 D:68 R
A:01fd D:7d R
A:8043 D:99 R
A:8044 D:00 R
A:8045 D:02 R
A:022a D:7d W
A:8046 D:a5 R
A:8047 D:02 R
A:0002 D:02 R
A:8048 D:69 R
A:8049 D:e3 R
A:804a D:85 R
A:804b D:04 R
A:0004 D:e5 W
A:804c D:a5 R
A:804d D:00 R
A:0000 D:2a R
A:804e D:6a R
A:804f D:45 R
A:8050 D:04 R
A:0004 D:e5 R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:8181 D:eb R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:eb W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:ef R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:e5 R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:8123 D:11 R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:11 W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:05 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:02 R
A:0002 D:01 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:01 R
A:801e D:f0 R
A:801f D:44 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:01 R
A:0002 D:00 W
A:8066 D:90 R
A:8067 D:b3 R
A:8068 D:c8 R
A:8068 D:c8 R
A:8069 D:c0 R
A:806a D:30 R
A:806b D:d0 R
A:806c D:aa R
A:8017 D:a9 R
A:8018 D:80 R
A:8019 D:85 R
A:801a D:02 R
A:0002 D:80 W
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:80 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:06 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:eb R
A:8024 D:29 R
A:8025 D:3f R
A:8026 D:c9 R
A:8027 D:30 R
A:8028 D:90 R
A:8029 D:02 R
A:802c D:a8 R
A:802c D:a8 R
A:802d D:a5 R
A:802e D:01 R
A:0001 D:11 R
A:802f D:29 R
A:8030 D:3f R
A:8031 D:c9 R
A:8032 D:30 R
A:8033 D:90 R
A:8034 D:02 R
A:8037 D:aa R
A:8037 D:aa R
A:8038 D:bd R
A:8039 D:00 R
A:803a D:02 R
A:0211 D:5f R
A:803b D:48 R
A:803b D:48 R
A:00fd D:5f W
A:803c D:b9 R
A:803d D:00 R
A:803e D:02 R
A:022b D:61 R
A:803f D:9d R
A:8040 D:00 R
A:8041 D:02 R
A:0211 D:61 W
A:8042 D:68 R
A:8042 D:68 R
A:01fd D:5f R
A:8043 D:99 R
A:8044 D:00 R
A:8045 D:02 R
A:022b D:5f W
A:8046 D:a5 R
A:8047 D:02 R
A:0002 D:80 R
A:8048 D:69 R
A:8049 D:e3 R
A:804a D:85 R
A:804b D:04 R
A:0004 D:63 W
A:804c D:a5 R
A:804d D:00 R
A:0000 D:eb R
A:804e D:6a R
A:804f D:45 R
A:8050 D:04 R
A:0004 D:63 R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:8127 D:cb R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:cb W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:11 R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:63 R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:817c D:9a R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:9a W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:06 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:80 R
A:0002 D:40 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:40 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:06 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:cb R
A:8024 D:29 R
A:8025 D:3f R
A:8026 D:c9 R
A:8027 D:30 R
A:8028 D:90 R
A:8029 D:02 R
A:802c D:a8 R
A:802c D:a8 R
A:802d D:a5 R
A:802e D:01 R
A:0001 D:9a R
A:802f D:29 R
A:8030 D:3f R
A:8031 D:c9 R
A:8032 D:30 R
A:8033 D:90 R
A:8034 D:02 R
A:8037 D:aa R
A:8037 D:aa R
A:8038 D:bd R
A:8039 D:00 R
A:803a D:02 R
A:021a D:5f R
A:803b D:48 R
A:803b D:48 R
A:00fd D:5f W
A:803c D:b9 R
A:803d D:00 R
A:803e D:02 R
A:020b D:65 R
A:803f D:9d R
A:8040 D:00 R
A:8041 D:02 R
A:021a D:65 W
A:8042 D:68 R
A:8042 D:68 R
A:01fd D:5f R
A:8043 D:99 R
A:8044 D:00 R
A:8045 D:02 R
A:020b D:5f W
A:8046 D:a5 R
A:8047 D:02 R
A:0002 D:40 R
A:8048 D:69 R
A:8049 D:e3 R
A:804a D:85 R
A:804b D:04 R
A:0004 D:23 W
A:804c D:a5 R
A:804d D:00 R
A:0000 D:cb R
A:804e D:6a R
A:804f D:45 R
A:8050 D:04 R
A:0004 D:23 R
A:8051 D:aa R
A:8051 D:aa R
A:8052 D:bd R
A:8053 D:91 R
A:8054 D:80 R
A:8157 D:0b R
A:8055 D:85 R
A:8056 D:00 R
A:0000 D:0b W
A:8057 D:a5 R
A:8058 D:01 R
A:0001 D:9a R
A:8059 D:6a R
A:805a D:45 R
A:805b D:04 R
A:0004 D:23 R
A:805c D:aa R
A:805c D:aa R
A:805d D:bd R
A:805e D:91 R
A:805f D:80 R
A:817f D:08 R
A:8060 D:85 R
A:8061 D:01 R
A:0001 D:08 W
A:8062 D:a4 R
A:8063 D:03 R
A:0003 D:06 R
A:8064 D:46 R
A:8065 D:02 R
A:0002 D:40 R
A:0002 D:20 W
A:8066 D:90 R
A:8067 D:b3 R
A:801b D:02 R
A:801b D:02 R
A:801c D:25 R
A:801d D:02 R
A:0002 D:20 R
A:801e D:f0 R
A:801f D:44 R
A:8020 D:84 R
A:8021 D:03 R
A:0003 D:06 W
A:8022 D:a5 R
A:8023 D:00 R
A:0000 D:0b R
A:8024 D:29 R
A:8025 D:3f R
